category,data_source,freq,tickers,cut,fields,vendor_tickers,local-close
base-depos,bloomberg,daily,NOK6M,NYC,close,NKDRF CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,NOK9M,NYC,close,NKDRI CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,NOK1Y,NYC,close,NKDR1 CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,NOK2Y,NYC,close,NKDR2 CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,NOK3Y,NYC,close,NKDR3 CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,NOK5Y,NYC,close,NKDR5 CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,SEKON,NYC,close,SKDR1T CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,SEKTN,NYC,close,SKDR2T CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,SEKSN,NYC,close,SKDR3T CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,SEK1W,NYC,close,SKDR1Z CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,SEK2W,NYC,close,SKDR2Z CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,SEK3W,NYC,close,SKDR3Z CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,SEK1M,NYC,close,SKDRA CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,SEK2M,NYC,close,SKDRB CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,SEK3M,NYC,close,SKDRC CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,SEK4M,NYC,close,SKDRD CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,SEK6M,NYC,close,SKDRF CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,SEK9M,NYC,close,SKDRI CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,SEK1Y,NYC,close,SKDR1 CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,SEK2Y,NYC,close,SKDR2 CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,SEK3Y,NYC,close,SKDR3 CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,SEK5Y,NYC,close,SKDR5 CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,JPYON,NYC,close,JYDR1T CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,JPYTN,NYC,close,JYDR2T CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,JPYSN,NYC,close,JYDR3T CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,JPY1W,NYC,close,JYDR1Z CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,JPY2W,NYC,close,JYDR2Z CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,JPY3W,NYC,close,JYDR3Z CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,JPY1M,NYC,close,JYDRA CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,JPY2M,NYC,close,JYDRB CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,JPY3M,NYC,close,JYDRC CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,JPY4M,NYC,close,JYDRD CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,JPY6M,NYC,close,JYDRF CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,JPY9M,NYC,close,JYDRI CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,JPY1Y,NYC,close,JYDR1 CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,JPY2Y,NYC,close,JYDR2 CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,JPY3Y,NYC,close,JYDR3 CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,JPY5Y,NYC,close,JYDR5 CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,USDFedEffectiveRate,LDN,close,FEDL01 Index,6:00pm LDN
base-depos,bloomberg,daily,USDON,LDN,close,USDR1T CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,USDTN,LDN,close,USDR2T CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,USDSN,LDN,close,USDR3T CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,USD1W,LDN,close,USDR1Z CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,USD2W,LDN,close,USDR2Z CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,USD3W,LDN,close,USDR3Z CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,USD1M,LDN,close,USDRA CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,USD2M,LDN,close,USDRB CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,USD3M,LDN,close,USDRC CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,USD4M,LDN,close,USDRD CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,USD6M,LDN,close,USDRF CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,USD9M,LDN,close,USDRI CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,USD1Y,LDN,close,USDR1 CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,USD2Y,LDN,close,USDR2 CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,USD3Y,LDN,close,USDR3 CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,USD5Y,LDN,close,USDR5 CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,CHFON,LDN,close,SFDR1T CMPL Index,6:00pm LDN
